iter	Passed	Remaining
861	3279	6231
862	3282	6226
863	3285	6222
864	3290	6219
865	3293	6214
866	3296	6209
867	3300	6204
868	3303	6199
869	3307	6196
870	3310	6191
871	3314	6187
872	3317	6182
873	3321	6179
874	3324	6174
875	3328	6170
876	3331	6165
877	3335	6161
878	3339	6157
879	3343	6154
880	3346	6150
881	3350	6145
882	3354	6142
883	3357	6138
884	3361	6133
885	3364	6128
886	3367	6124
887	3372	6121
888	3375	6116
889	3378	6112
890	3382	6107
891	3385	6103
892	3389	6099
893	3392	6095
894	3396	6090
895	3399	6085
896	3403	6083
897	3407	6078
898	3410	6073
899	3413	6069
900	3417	6065
901	3421	6061
902	3424	6057
903	3428	6052
904	3431	6047
905	3435	6044
906	3439	6040
907	3442	6036
908	3446	6031
909	3450	6028
910	3454	6024
911	3457	6020
912	3461	6016
913	3465	6013
914	3468	6008
915	3471	6003
916	3475	5999
917	3478	5994
918	3482	5991
919	3486	5987
920	3489	5982
921	3492	5978
922	3496	5974
923	3500	5970
924	3505	5968
925	3509	5965
926	3513	5962
927	3517	5957
928	3520	5953
929	3523	5948
930	3526	5943
931	3531	5941
932	3534	5936
933	3537	5931
934	3541	5927
935	3545	5924
936	3550	5922
937	3554	5919
938	3557	5914
939	3562	5911
940	3565	5907
941	3569	5903
942	3572	5898
943	3575	5894
944	3580	5890
945	3583	5886
946	3586	5881
947	3589	5877
948	3593	5873
949	3597	5868
950	3600	5864
951	3603	5859
952	3606	5855
953	3611	5852
954	3614	5847
955	3617	5843
956	3621	5838
957	3624	5834
958	3628	5830
959	3632	5826
960	3635	5821
961	3639	5817
962	3643	5814
963	3647	5811
964	3650	5807
965	3654	5802
966	3657	5798
967	3661	5794
968	3664	5789
969	3667	5785
970	3671	5780
971	3674	5777
972	3678	5773
973	3681	5768
974	3685	5764
975	3688	5759
976	3692	5756
977	3696	5752
978	3699	5748
979	3703	5743
980	3706	5739
981	3710	5735
982	3713	5730
983	3716	5726
984	3720	5722
985	3724	5718
986	3727	5714
987	3731	5709
988	3734	5705
989	3737	5700
990	3741	5697
991	3745	5693
992	3748	5688
993	3751	5684
994	3755	5680
995	3760	5679
996	3765	5676
997	3769	5672
998	3773	5669
999	3776	5665
1000	3780	5661
1001	3783	5656
1002	3787	5652
1003	3791	5648
1004	3794	5644
1005	3797	5639
1006	3801	5635
1007	3805	5632
1008	3808	5627
1009	3811	5623
1010	3815	5619
1011	3818	5614
1012	3822	5611
1013	3825	5606
1014	3829	5602
1015	3832	5597
1016	3835	5593
1017	3839	5589
1018	3842	5585
1019	3846	5580
1020	3849	5576
1021	3853	5573
1022	3857	5569
1023	3861	5566
1024	3865	5562
1025	3869	5558
1026	3872	5554
1027	3875	5549
1028	3879	5545
1029	3882	5541
1030	3886	5537
1031	3889	5533
1032	3893	5528
1033	3896	5524
1034	3900	5521
1035	3904	5517
1036	3908	5513
1037	3911	5509
1038	3914	5504
1039	3919	5501
1040	3922	5497
1041	3925	5493
1042	3929	5488
1043	3932	5484
1044	3936	5481
1045	3939	5476
1046	3943	5472
1047	3946	5468
1048	3950	5464
1049	3954	5460
1050	3957	5456
1051	3960	5452
1052	3964	5447
1053	3968	5444
1054	3972	5440
1055	3975	5436
1056	3979	5432
1057	3982	5428
1058	3986	5424
1059	3989	5419
1060	3993	5415
1061	3996	5411
1062	4000	5407
1063	4003	5403
1064	4007	5399
1065	4010	5394
1066	4013	5390
1067	4017	5386
1068	4020	5382
1069	4024	5378
1070	4027	5373
1071	4031	5370
1072	4034	5366
